categoria,servicio,paquete,precio_usd,modalidad,plazo_entrega,incluye
Automatizaciones,Automatización simple (1 flujo hasta 3 pasos),Unitario,desde 250,Por proyecto,3-5 días hábiles,"1 workflow n8n, documentación, video tutorial, 30 días de garantía"
Automatizaciones,Automatización media (flujo con integraciones y lógica),Unitario,desde 600,Por proyecto,1-2 semanas,"Hasta 3 workflows n8n conectados, integración con CRM/hojas/correo, documentación, capacitación en vivo, 30 días de garantía"
Automatizaciones,Automatización avanzada (proceso completo end-to-end),Unitario,desde 1200,Por proyecto,2-3 semanas,"Workflows ilimitados del proceso, manejo de errores y reintentos, dashboard de monitoreo, documentación, capacitación, 30 días de garantía"
Agentes IA,Chatbot de atención al cliente (web),Unitario,desde 800,Por proyecto,1-3 semanas,"Agente conversacional con IA, entrenado con FAQ y documentos, widget web, panel de conversaciones, 30 días de garantía"
Agentes IA,Chatbot de atención al cliente (WhatsApp),Unitario,desde 1000,Por proyecto,2-3 semanas,"Agente IA en WhatsApp Business API, escalamiento a humano, panel de conversaciones, 30 días de garantía"
Agentes IA,Agente RAG de conocimiento corporativo,Unitario,desde 1500,Por proyecto,3-5 semanas,"Agente que responde sobre documentos internos con fuentes citadas, pipeline de actualización de documentos, interfaz de chat, deploy en la nube, 30 días de garantía"
Captación,Sistema de captación y calificación de leads,Unitario,desde 700,Por proyecto,1-2 semanas,"Formularios/landing conectados, enriquecimiento y scoring de leads, notificaciones al equipo comercial, sincronización con CRM, 30 días de garantía"
Paquetes,Starter,Paquete,450,Por proyecto,1 semana,"2 automatizaciones simples + diagnóstico de procesos + capacitación + 30 días de garantía"
Paquetes,Pro,Paquete,1400,Por proyecto,2-3 semanas,"1 automatización avanzada + 1 chatbot web + capacitación + 60 días de garantía + 1 mes de mantenimiento incluido"
Paquetes,Premium,Paquete,2900,Por proyecto,4-6 semanas,"Proceso end-to-end + agente IA (web o WhatsApp) + agente RAG básico + capacitación + 90 días de garantía + 3 meses de mantenimiento incluidos"
Recurrente,Mantenimiento Básico,Mensualidad,80,Mensual,Continuo,"Monitoreo, corrección de fallos, hasta 2 horas de ajustes al mes, soporte en 48h hábiles"
Recurrente,Mantenimiento Pro,Mensualidad,150,Mensual,Continuo,"Monitoreo, corrección de fallos, hasta 5 horas de ajustes al mes, soporte prioritario WhatsApp en 24h hábiles, reporte mensual de desempeño"
Consultoría,Diagnóstico de automatización (30 min),Unitario,0,Llamada única,Inmediato,"Evaluación de procesos, identificación de oportunidades, estimación de ROI, propuesta formal sin compromiso"
Consultoría,Consultoría de automatización por hora,Unitario,45,Por hora,Según agenda,"Asesoría técnica o estratégica, revisión de flujos existentes, recomendaciones documentadas"
